X,Y,Name
-73.2449613928947,-39.839631644061,LargoP1.1330
-73.2447217,-39.8394153,CortoP2.1400
-73.2441637,-39.8393116,CortoP3.1405
-73.2435474,-39.8397297,CortoP4.1414
-73.2429816,-39.8400097,LargoP5.1418
-73.2424949,-39.8405106,CortoP6.1434
-73.2431551,-39.8407459,CortoP7.1514
-73.2448821853266,-39.8408464765426,CortoP8.1525
-73.2455062,-39.8400933,CortoP9.1533
-73.241113,-39.8407019,LargoP10.1229
-73.240589,-39.8416858,CortoP11.1253
-73.2400382,-39.8408068,CortoP12.1300
-73.2379840291364,-39.8412685527932,LargoP13.1316
-73.2376904570675,-39.8416294883458,CortoP14.1334
-73.2336609,-39.8420554,LargoP15.1411
-73.2349346208107,-39.84293021949,CortoP16.1439
-73.2354235948609,-39.8428560634926,CortoP17.1450
-73.242919677698,-39.8378269506155,LargoP18.1518
-73.2663148,-39.8677066,LargoP19.1148
-73.2657582,-39.8665735,CortoP20.1207
-73.2545659,-39.8617922,LargoP21.1237
-73.2552216710505,-39.8621431538985,CortoP22.1254
-73.2551505,-39.8627991,CortoP23.1305
-73.2558928,-39.8618842,CortoP24.1315
-73.2381425092495,-39.8790929906598,LargoP25.1531
-73.2420604326721,-39.8724783784829,LargoP26.1600
-73.2425416,-39.8721509,CortoP27.1619
-73.2418958,-39.8690424,CortoP28.1629
-73.2339121,-39.8409352,CortoP29.1646
-73.2388842,-39.8396682,CortoP30.1700 
-73.240594,-39.8394925,CortoP31.1707
